Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,All NBA
Damian Lillard,2012-13,22,POR,NBA,82,3167,82,9.2,21.4,6.1,13.0,3.1,8.3,4.5,5.3,0.7,3.6,4.3,8.8,1.2,0.3,4.0,2.9,25.9,0.429,0.469,0.368,0.501,0.8440000000000001,0.546,0
James Harden,2015-16,26,HOU,NBA,82,3125,82,11.2,25.4,7.5,15.1,3.7,10.3,11.3,13.2,1.0,6.9,7.9,9.6,2.2,0.8,5.9,3.6,37.4,0.439,0.494,0.359,0.512,0.86,0.598,0
Kevin Durant,2013-14,25,OKC,NBA,81,3122,81,13.7,27.2,10.6,19.3,3.1,7.9,11.3,13.0,0.9,8.7,9.6,7.2,1.7,1.0,4.6,2.8,41.8,0.503,0.5489999999999999,0.391,0.56,0.873,0.635,1
Kevin Durant,2012-13,24,OKC,NBA,81,3119,81,12.1,23.6,9.8,18.1,2.3,5.5,11.2,12.4,0.8,9.8,10.6,6.2,1.9,1.7,4.6,2.4,37.6,0.51,0.539,0.41600000000000004,0.5589999999999999,0.905,0.647,1
Monta Ellis,2012-13,27,MIL,NBA,82,3076,82,9.8,23.7,8.3,18.3,1.5,5.4,4.8,6.2,0.7,4.5,5.2,8.2,2.8,0.6,4.2,2.7,26.0,0.416,0.454,0.287,0.448,0.773,0.493,0
Andrew Wiggins,2016-17,21,MIN,NBA,82,3048,82,11.8,26.1,10.1,21.3,1.7,4.8,6.9,9.0,1.7,3.8,5.5,3.1,1.4,0.5,3.1,3.0,32.2,0.452,0.473,0.35600000000000004,0.484,0.76,0.534,0
Karl-Anthony Towns,2016-17,21,MIN,NBA,82,3030,82,13.4,24.8,11.7,20.2,1.7,4.6,6.0,7.2,5.0,11.9,16.9,3.7,0.9,1.7,3.5,4.0,34.5,0.542,0.5820000000000001,0.3670000000000001,0.5760000000000001,0.8320000000000001,0.618,0
Bradley Beal,2018-19,25,WAS,NBA,82,3028,82,11.9,25.2,8.7,15.8,3.3,9.3,5.7,7.0,1.4,5.0,6.4,7.0,1.9,0.9,3.5,3.5,32.8,0.475,0.5479999999999999,0.35100000000000003,0.54,0.8079999999999999,0.581,0
LeBron James,2017-18,33,CLE,NBA,82,3026,82,13.9,25.6,11.5,19.0,2.4,6.6,6.3,8.6,1.6,9.9,11.5,12.1,1.9,1.1,5.6,2.2,36.4,0.542,0.603,0.3670000000000001,0.59,0.731,0.621,1
Monta Ellis,2013-14,28,DAL,NBA,82,3023,82,9.8,21.7,8.6,18.1,1.2,3.5,5.8,7.3,0.6,4.4,5.0,8.0,2.4,0.4,4.5,3.3,26.5,0.451,0.474,0.33,0.478,0.7879999999999999,0.532,0
DeMar DeRozan,2013-14,24,TOR,NBA,79,3017,79,10.5,24.4,9.4,20.7,1.1,3.6,9.0,10.9,0.9,5.1,5.9,5.4,1.5,0.5,3.0,3.4,31.0,0.429,0.451,0.305,0.452,0.8240000000000001,0.532,0
Kobe Bryant,2012-13,34,LAL,NBA,78,3013,78,12.5,26.9,10.2,20.0,2.2,6.9,8.9,10.6,1.1,6.2,7.3,7.9,1.8,0.4,4.8,2.9,36.0,0.46299999999999997,0.51,0.324,0.504,0.8390000000000001,0.57,1
DeMar DeRozan,2012-13,23,TOR,NBA,82,3013,82,9.7,21.7,9.1,19.6,0.6,2.1,6.3,7.5,0.8,4.8,5.6,3.6,1.3,0.4,2.7,3.0,26.2,0.445,0.463,0.28300000000000003,0.459,0.831,0.523,0
James Harden,2012-13,23,HOU,NBA,78,2985,78,9.8,22.4,6.8,14.2,3.0,8.1,11.3,13.3,1.0,5.3,6.3,7.6,2.4,0.6,4.9,3.0,33.8,0.43799999999999994,0.47700000000000004,0.368,0.504,0.851,0.6,1
Stephen Curry,2012-13,24,GSW,NBA,78,2983,78,10.7,23.6,6.0,13.4,4.6,10.2,4.5,5.0,1.0,4.3,5.3,9.2,2.1,0.2,4.1,3.4,30.4,0.451,0.449,0.453,0.5489999999999999,0.9,0.589,0
Khris Middleton,2017-18,26,MIL,NBA,82,2982,82,9.9,21.3,7.5,14.5,2.4,6.8,5.4,6.1,0.8,6.4,7.2,5.5,2.0,0.4,3.2,4.5,27.6,0.466,0.517,0.359,0.524,0.884,0.5770000000000001,0
Carmelo Anthony,2013-14,29,NYK,NBA,77,2982,77,13.2,29.3,10.3,21.9,3.0,7.4,8.2,9.6,2.6,8.5,11.1,4.3,1.7,0.9,3.5,4.0,37.7,0.452,0.469,0.402,0.503,0.848,0.561,0
James Harden,2014-15,25,HOU,NBA,81,2981,81,10.8,24.5,7.3,15.3,3.5,9.3,11.9,13.7,1.3,6.4,7.7,9.4,2.6,1.0,5.4,3.5,37.0,0.44,0.48,0.375,0.511,0.868,0.605,1
John Wall,2013-14,23,WAS,NBA,82,2980,82,10.0,23.1,8.1,17.8,1.9,5.3,5.5,6.8,0.7,5.1,5.8,12.5,2.6,0.7,5.1,3.8,27.4,0.433,0.458,0.35100000000000003,0.473,0.805,0.524,0
Andrew Wiggins,2017-18,22,MIN,NBA,82,2979,82,9.6,21.8,7.7,16.1,1.9,5.7,3.4,5.3,1.4,4.6,6.0,2.7,1.5,0.9,2.3,2.7,24.4,0.438,0.475,0.331,0.481,0.643,0.505,0
Bradley Beal,2017-18,24,WAS,NBA,82,2977,82,11.4,24.8,8.1,15.9,3.3,8.8,4.9,6.2,1.0,5.0,6.1,6.2,1.6,0.6,3.6,2.7,31.0,0.46,0.507,0.375,0.527,0.7909999999999999,0.564,0
Paul George,2012-13,22,IND,NBA,79,2972,79,8.8,21.1,5.8,12.7,3.0,8.4,4.0,4.9,1.6,9.2,10.8,5.9,2.6,0.9,4.2,4.1,24.7,0.419,0.457,0.36200000000000004,0.491,0.807,0.531,1
Andrew Wiggins,2014-15,19,MIN,NBA,82,2969,82,8.5,19.5,7.8,17.3,0.7,2.2,6.1,8.0,2.3,4.1,6.4,2.9,1.5,0.9,3.0,3.3,23.8,0.4370000000000001,0.453,0.31,0.454,0.76,0.517,0
Nicolas Batum,2013-14,25,POR,NBA,82,2956,82,6.5,14.0,4.0,7.1,2.5,6.9,2.8,3.5,2.0,8.5,10.5,7.2,1.3,1.0,3.6,2.7,18.3,0.465,0.5660000000000001,0.361,0.5539999999999999,0.8029999999999999,0.589,0
James Harden,2016-17,27,HOU,NBA,81,2947,81,11.0,25.0,6.7,12.7,4.3,12.3,12.1,14.3,1.5,9.2,10.7,14.8,2.0,0.6,7.6,3.5,38.4,0.44,0.53,0.34700000000000003,0.525,0.847,0.613,1
Damian Lillard,2013-14,23,POR,NBA,82,2937,82,9.5,22.5,5.8,12.9,3.8,9.5,6.4,7.3,0.6,4.4,5.0,7.9,1.1,0.4,3.3,3.4,29.2,0.424,0.447,0.39399999999999996,0.508,0.871,0.568,1
Klay Thompson,2012-13,22,GSW,NBA,82,2936,82,8.8,20.9,5.1,11.8,3.7,9.1,2.3,2.7,0.6,4.7,5.3,3.2,1.5,0.8,2.7,4.1,23.5,0.422,0.4370000000000001,0.401,0.509,0.841,0.5329999999999999,0
Trevor Ariza,2014-15,29,HOU,NBA,82,2930,82,6.2,15.4,2.9,6.0,3.3,9.4,2.1,2.4,1.3,6.5,7.8,3.5,2.6,0.3,2.4,3.2,17.8,0.402,0.485,0.35,0.509,0.853,0.539,0
Jrue Holiday,2017-18,27,NOP,NBA,81,2927,81,10.0,20.3,8.1,14.5,2.0,5.8,3.0,3.9,1.0,4.9,6.0,7.9,2.0,1.0,3.5,3.3,25.1,0.494,0.557,0.337,0.5429999999999999,0.7859999999999999,0.57,0
Jrue Holiday,2012-13,22,PHI,NBA,78,2926,78,10.0,23.2,8.4,18.8,1.6,4.5,3.3,4.4,1.6,4.3,5.9,11.3,2.2,0.6,5.3,3.1,24.9,0.431,0.446,0.368,0.466,0.752,0.496,0
Damian Lillard,2014-15,24,POR,NBA,82,2925,82,10.3,23.7,6.9,13.7,3.4,10.0,6.0,6.9,0.9,5.7,6.6,8.8,1.7,0.4,3.9,2.9,30.0,0.434,0.5,0.343,0.506,0.8640000000000001,0.56,0
CJ McCollum,2017-18,26,POR,NBA,81,2923,81,11.4,25.6,8.1,17.5,3.2,8.1,3.6,4.3,0.9,4.6,5.5,4.6,1.3,0.6,2.6,2.9,29.5,0.443,0.465,0.397,0.506,0.836,0.536,0
Karl-Anthony Towns,2017-18,22,MIN,NBA,82,2918,82,11.0,20.1,8.9,15.2,2.1,4.9,5.9,6.9,4.1,13.3,17.3,3.4,1.1,2.0,2.7,4.9,29.9,0.545,0.585,0.42100000000000004,0.596,0.858,0.6459999999999999,1
Russell Westbrook,2017-18,29,OKC,NBA,80,2914,80,12.9,28.7,11.2,23.2,1.7,5.6,7.1,9.6,2.6,11.1,13.7,14.0,2.5,0.3,6.5,3.4,34.5,0.449,0.485,0.298,0.47700000000000004,0.737,0.524,1
O.J. Mayo,2012-13,25,DAL,NBA,82,2913,82,8.1,18.0,5.6,11.9,2.5,6.1,3.3,4.1,0.6,4.5,5.1,6.3,1.6,0.4,3.7,3.4,22.0,0.449,0.471,0.407,0.519,0.82,0.556,0
David Lee,2012-13,29,GSW,NBA,79,2907,79,10.5,20.3,10.5,20.2,0.0,0.1,4.5,5.6,3.8,11.7,15.5,4.9,1.2,0.4,3.6,4.3,25.5,0.519,0.521,0.0,0.519,0.797,0.561,1
Luol Deng,2012-13,27,CHI,NBA,75,2903,75,8.6,20.2,7.2,15.9,1.4,4.3,4.3,5.2,3.0,5.8,8.8,4.1,1.5,0.6,2.7,1.9,22.9,0.426,0.455,0.322,0.461,0.816,0.508,0
LeBron James,2013-14,29,MIA,NBA,77,2902,77,13.9,24.5,11.8,19.0,2.1,5.5,8.0,10.6,1.5,8.2,9.7,8.8,2.2,0.5,4.9,2.3,37.9,0.5670000000000001,0.622,0.379,0.61,0.75,0.649,1
Paul George,2013-14,23,IND,NBA,80,2898,80,10.3,24.4,7.1,15.4,3.3,9.0,7.2,8.3,1.1,8.6,9.7,5.1,2.7,0.4,4.0,3.5,31.1,0.424,0.45799999999999996,0.364,0.49,0.8640000000000001,0.555,1
Brandon Jennings,2012-13,23,MIL,NBA,80,2897,80,8.7,21.8,5.7,13.8,3.0,8.1,4.0,4.9,1.0,3.3,4.3,9.1,2.2,0.2,3.6,2.7,24.4,0.399,0.412,0.375,0.468,0.8190000000000001,0.51,0
Gordon Hayward,2015-16,25,UTA,NBA,80,2893,80,9.5,21.9,6.9,14.4,2.6,7.5,7.2,8.7,1.1,6.1,7.2,5.4,1.7,0.5,3.7,3.3,28.8,0.433,0.477,0.349,0.493,0.8240000000000001,0.5589999999999999,0
Evan Turner,2012-13,24,PHI,NBA,82,2892,82,8.0,19.2,7.0,16.3,1.1,2.9,2.8,3.8,1.0,8.4,9.4,6.5,1.3,0.3,3.4,3.6,20.0,0.419,0.428,0.365,0.446,0.74,0.478,0
Paul George,2017-18,27,OKC,NBA,79,2891,79,9.9,23.0,5.7,12.5,4.2,10.5,5.8,7.1,1.2,6.4,7.7,4.5,2.8,0.7,3.6,4.0,29.8,0.43,0.45399999999999996,0.401,0.521,0.8220000000000001,0.57,1
Kemba Walker,2015-16,25,CHO,NBA,81,2885,81,9.9,23.1,6.7,14.6,3.2,8.5,6.5,7.6,1.0,5.2,6.2,7.3,2.2,0.7,3.0,1.9,29.4,0.4270000000000001,0.459,0.371,0.495,0.847,0.5539999999999999,0
LeBron James,2012-13,28,MIA,NBA,76,2877,76,14.1,24.9,12.2,20.2,1.9,4.7,7.4,9.8,1.8,9.4,11.2,10.1,2.4,1.2,4.2,2.0,37.5,0.565,0.602,0.406,0.603,0.753,0.64,1
DeAndre Jordan,2013-14,25,LAC,NBA,82,2870,82,6.1,9.0,6.1,9.0,0.0,0.0,2.8,6.5,5.8,13.6,19.4,1.3,1.4,3.5,2.1,4.6,14.9,0.6759999999999999,0.6759999999999999,,0.6759999999999999,0.428,0.63,0
Klay Thompson,2013-14,23,GSW,NBA,81,2868,81,9.7,21.9,5.8,12.6,3.9,9.3,2.6,3.2,0.7,3.7,4.3,3.1,1.3,0.6,2.3,4.1,25.9,0.444,0.464,0.417,0.5329999999999999,0.795,0.555,0
James Harden,2018-19,29,HOU,NBA,78,2867,78,14.4,32.7,8.0,15.1,6.5,17.6,12.9,14.7,1.1,7.7,8.9,10.0,2.7,1.0,6.6,4.2,48.2,0.442,0.528,0.368,0.541,0.879,0.616,1
Kemba Walker,2018-19,28,CHO,NBA,82,2863,82,12.4,28.6,8.0,16.2,4.4,12.4,6.5,7.6,0.9,5.2,6.1,8.2,1.7,0.6,3.6,2.2,35.7,0.434,0.494,0.35600000000000004,0.511,0.8440000000000001,0.5579999999999999,1
Blake Griffin,2013-14,24,LAC,NBA,80,2863,80,12.5,23.7,12.3,23.0,0.2,0.8,8.4,11.8,3.4,9.9,13.2,5.4,1.6,0.9,3.9,4.6,33.7,0.528,0.537,0.273,0.5329999999999999,0.715,0.583,1
Kyle Lowry,2013-14,27,TOR,NBA,79,2862,79,8.3,19.7,4.9,10.6,3.5,9.1,5.7,7.0,1.6,5.1,6.7,10.7,2.2,0.3,3.5,4.9,25.9,0.423,0.46,0.38,0.511,0.813,0.5670000000000001,0
Russell Westbrook,2012-13,24,OKC,NBA,82,2861,82,12.1,27.6,10.4,22.2,1.7,5.4,8.3,10.3,2.0,5.7,7.7,10.9,2.6,0.4,4.9,3.4,34.2,0.43799999999999994,0.466,0.32299999999999995,0.47,0.8,0.532,1
Kemba Walker,2012-13,22,CHA,NBA,82,2859,82,9.7,22.8,7.7,16.7,2.0,6.1,5.4,6.8,1.1,4.1,5.2,8.6,2.9,0.6,3.7,2.8,26.7,0.423,0.459,0.322,0.466,0.7979999999999999,0.517,0
Trevor Ariza,2015-16,30,HOU,NBA,81,2859,81,6.1,14.8,3.0,6.2,3.2,8.6,2.2,2.8,1.2,5.1,6.3,3.2,2.8,0.4,1.9,3.0,17.6,0.416,0.478,0.371,0.523,0.7829999999999999,0.551,0
Chris Paul,2014-15,29,LAC,NBA,82,2857,82,10.1,20.8,7.6,14.6,2.5,6.2,5.1,5.7,0.9,5.7,6.7,14.9,2.8,0.3,3.4,3.6,27.7,0.485,0.523,0.39799999999999996,0.545,0.9,0.596,1
Marcus Morris,2015-16,26,DET,NBA,80,2856,80,7.2,16.7,5.3,11.4,1.9,5.3,3.6,4.8,1.6,5.5,7.1,3.6,1.2,0.4,2.5,3.0,20.0,0.434,0.467,0.362,0.491,0.7490000000000001,0.531,0
