Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All NBA
Damian Lillard\lillada01,2012-13,22,POR,NBA,82,3167,82,16.4,0.391,0.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,108,112,5.1,0.7,5.8,0.08800000000000001,2.1,-1.9,0.3,1.8,0
James Harden\hardeja01,2015-16,26,HOU,NBA,82,3125,82,25.3,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,115,108,10.7,2.6,13.3,0.204,6.4,0.2,6.6,6.8,0
Kevin Durant\duranke01,2013-14,25,OKC,NBA,81,3122,81,29.8,0.29100000000000004,0.47700000000000004,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,123,104,14.8,4.4,19.2,0.295,8.8,1.4,10.2,9.6,1
Kevin Durant\duranke01,2012-13,24,OKC,NBA,81,3119,81,28.3,0.233,0.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,122,100,13.6,5.3,18.9,0.29100000000000004,7.6,1.7,9.3,8.9,1
Monta Ellis\ellismo01,2012-13,27,MIL,NBA,82,3076,82,16.2,0.228,0.26,1.5,9.8,5.5,27.1,2.8,0.9,13.7,26.3,100,105,1.2,3.3,4.6,0.071,0.3,0.3,0.6,2.1,0
Andrew Wiggins\wiggian01,2016-17,21,MIN,NBA,82,3048,82,16.5,0.184,0.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,107,115,3.3,0.9,4.2,0.066,0.7,-2.4,-1.7,0.2,0
Karl-Anthony Towns\townska01,2016-17,21,MIN,NBA,82,3030,82,25.9,0.18600000000000003,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,121,110,9.9,2.8,12.7,0.201,5.5,-0.7,4.7,5.2,0
Bradley Beal\bealbr01,2018-19,25,WAS,NBA,82,3028,82,20.8,0.37,0.278,3.1,11.7,7.4,24.1,1.9,1.6,11.0,28.4,113,114,5.9,1.7,7.6,0.12,3.8,-0.8,2.9,3.7,0
LeBron James\jamesle01,2017-18,33,CLE,NBA,82,3026,82,28.6,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,118,109,11.0,3.0,14.0,0.221,7.3,1.4,8.7,8.2,1
Monta Ellis\ellismo01,2013-14,28,DAL,NBA,82,3023,82,16.8,0.16399999999999998,0.336,1.5,9.8,5.6,24.8,2.4,0.6,15.2,26.0,104,109,2.8,2.1,4.9,0.078,0.3,-0.5,-0.3,1.3,0
