Rk,Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Bradley Beal\bealbr01,2018-19,25,WAS,NBA,82,3028,82,11.9,25.2,8.7,15.8,3.3,9.3,5.7,7.0,1.4,5.0,6.4,7.0,1.9,0.9,3.5,3.5,32.8,.475,.548,.351,.540,.808,.581
2,James Harden\hardeja01,2018-19,29,HOU,NBA,78,2867,78,14.4,32.7,8.0,15.1,6.5,17.6,12.9,14.7,1.1,7.7,8.9,10.0,2.7,1.0,6.6,4.2,48.2,.442,.528,.368,.541,.879,.616
3,Kemba Walker\walkeke02,2018-19,28,CHO,NBA,82,2863,82,12.4,28.6,8.0,16.2,4.4,12.4,6.5,7.6,0.9,5.2,6.1,8.2,1.7,0.6,3.6,2.2,35.7,.434,.494,.356,.511,.844,.558
4,Tobias Harris\harrito02,2018-19,26,TOT,NBA,82,2847,82,10.1,20.8,7.5,14.3,2.6,6.5,4.4,5.1,1.1,9.6,10.7,3.8,0.8,0.6,2.5,3.1,27.3,.487,.528,.397,.549,.866,.592
5,Paul George\georgpa01,2018-19,28,OKC,NBA,77,2841,77,11.6,26.5,6.8,14.1,4.8,12.4,7.4,8.9,1.7,8.6,10.3,5.2,2.8,0.6,3.4,3.5,35.5,.438,.484,.386,.529,.839,.583
6,Damian Lillard\lillada01,2018-19,28,POR,NBA,80,2838,80,11.6,26.2,7.6,15.2,4.0,11.0,8.0,8.8,1.2,5.2,6.3,9.4,1.5,0.6,3.6,2.5,35.3,.444,.499,.369,.522,.912,.588
7,P.J. Tucker\tuckepj01,2018-19,33,HOU,NBA,82,2802,82,3.6,9.2,1.1,2.4,2.6,6.8,0.7,1.0,2.1,6.3,8.4,1.7,2.3,0.7,1.1,4.4,10.5,.396,.449,.377,.535,.695,.547
8,Kevin Durant\duranke01,2018-19,30,GSW,NBA,78,2702,78,12.7,24.4,10.3,17.5,2.4,6.8,7.9,8.9,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,.521,.587,.353,.571,.885,.631
9,Ben Simmons\simmobe01,2018-19,22,PHI,NBA,79,2700,79,9.4,16.8,9.4,16.7,0.0,0.1,4.5,7.5,3.0,9.2,12.2,10.7,2.0,1.1,4.8,3.7,23.4,.563,.566,.000,.563,.600,.582
10,DeMar DeRozan\derozde01,2018-19,29,SAS,NBA,77,2688,77,11.5,23.9,11.3,23.0,0.1,0.8,6.6,8.0,1.0,7.4,8.4,8.6,1.6,0.7,3.6,3.2,29.7,.481,.492,.156,.483,.830,.542
11,LaMarcus Aldridge\aldrila01,2018-19,33,SAS,NBA,81,2687,81,12.4,24.0,12.3,23.2,0.2,0.8,6.3,7.5,4.6,9.0,13.5,3.5,0.8,1.9,2.6,3.3,31.4,.519,.528,.238,.522,.847,.576
12,Steven Adams\adamsst01,2018-19,25,OKC,NBA,80,2669,80,8.4,14.1,8.4,14.1,0.0,0.0,2.6,5.1,6.8,6.5,13.3,2.2,2.0,1.3,2.4,3.6,19.4,.595,.596,.000,.595,.500,.591
13,Klay Thompson\thompkl01,2018-19,28,GSW,NBA,78,2652,78,11.8,25.2,7.4,14.4,4.3,10.7,2.3,2.8,0.7,4.7,5.4,3.3,1.5,0.8,2.1,2.8,30.1,.467,.516,.402,.553,.816,.571
14,Andre Drummond\drumman01,2018-19,25,DET,NBA,79,2647,79,10.4,19.6,10.4,18.9,0.1,0.7,4.5,7.7,7.9,15.1,22.9,2.1,2.5,2.6,3.3,5.1,25.5,.533,.548,.132,.536,.590,.555
15,Aaron Gordon\gordoaa01,2018-19,23,ORL,NBA,78,2633,78,8.7,19.4,6.5,13.0,2.2,6.4,3.4,4.7,2.4,8.3,10.7,5.4,1.1,1.0,3.0,3.2,23.2,.449,.499,.349,.507,.731,.538
16,Russell Westbrook\westbru01,2018-19,30,OKC,NBA,73,2630,73,11.2,26.1,9.1,18.8,2.1,7.3,5.3,8.0,1.9,12.4,14.3,13.9,2.5,0.6,5.8,4.3,29.7,.428,.481,.290,.468,.656,.501
17,Blake Griffin\griffbl01,2018-19,29,DET,NBA,75,2622,75,11.6,25.2,8.1,15.4,3.6,9.8,7.8,10.3,1.9,8.7,10.6,7.6,1.0,0.5,4.8,3.7,34.6,.462,.525,.362,.532,.753,.581
18,Buddy Hield\hieldbu01,2018-19,26,SAC,NBA,82,2615,82,11.1,24.2,6.1,12.6,4.9,11.6,3.0,3.4,1.9,5.4,7.3,3.6,1.0,0.6,2.6,3.6,30.2,.458,.487,.427,.560,.886,.587
19,Jerami Grant\grantje01,2018-19,24,OKC,NBA,80,2612,77,7.3,14.7,5.3,9.5,2.1,5.2,2.8,3.9,1.7,5.7,7.5,1.4,1.1,1.8,1.2,3.8,19.5,.497,.555,.392,.567,.710,.592
20,Justin Holiday\holidju01,2018-19,29,TOT,NBA,82,2607,77,5.6,14.6,2.6,5.9,3.0,8.8,1.8,2.0,0.9,5.2,6.1,2.7,2.3,0.7,2.0,3.1,16.1,.386,.442,.348,.490,.896,.520
21,Collin Sexton\sextoco01,2018-19,20,CLE,NBA,82,2605,72,9.9,23.0,7.6,17.4,2.3,5.6,4.1,4.9,1.1,3.4,4.5,4.6,0.8,0.1,3.5,3.5,26.1,.430,.440,.402,.480,.839,.520
22,Donovan Mitchell\mitchdo01,2018-19,22,UTA,NBA,77,2598,77,12.2,28.2,8.7,18.6,3.5,9.6,5.9,7.3,1.1,4.7,5.8,5.9,2.0,0.6,4.0,3.8,33.7,.432,.468,.362,.493,.806,.537
23,Rudy Gobert\goberru01,2018-19,26,UTA,NBA,81,2577,80,8.8,13.2,8.8,13.2,0.0,0.0,6.2,9.7,5.7,13.6,19.3,3.0,1.2,3.5,2.4,4.3,23.8,.669,.669,,.669,.636,.682
24,Bojan Bogdanović\bogdabo02,2018-19,29,IND,NBA,81,2573,81,9.9,20.0,6.8,12.6,3.1,7.3,4.7,5.8,0.6,5.7,6.3,3.1,1.3,0.0,2.5,2.6,27.6,.497,.538,.425,.575,.807,.613
25,Joe Ingles\inglejo01,2018-19,31,UTA,NBA,82,2568,82,6.7,14.9,3.2,5.9,3.5,9.0,1.6,2.3,0.7,5.5,6.1,8.7,1.8,0.4,3.6,3.4,18.5,.448,.533,.391,.565,.707,.581
