Rk,Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Bradley Beal\bealbr01,2018-19,25,WAS,NBA,82,3028,82,20.8,.370,.278,3.1,11.7,7.4,24.1,1.9,1.6,11.0,28.4,113,114,5.9,1.7,7.6,.120,3.8,-0.8,2.9,3.7
2,James Harden\hardeja01,2018-19,29,HOU,NBA,78,2867,78,30.6,.539,.449,2.5,17.8,10.0,39.5,2.7,1.7,14.5,40.5,118,108,11.4,3.8,15.2,.254,9.4,1.6,11.0,9.3
3,Kemba Walker\walkeke02,2018-19,28,CHO,NBA,82,2863,82,21.7,.434,.267,1.9,11.9,6.8,29.4,1.7,1.0,10.1,31.5,112,114,5.5,1.9,7.4,.123,5.2,-1.0,4.2,4.4
4,Tobias Harris\harrito02,2018-19,26,TOT,NBA,82,2847,82,17.2,.313,.245,2.6,20.8,12.0,12.5,0.8,1.0,9.8,22.8,114,111,4.5,2.6,7.1,.120,2.1,-0.5,1.6,2.6
5,Paul George\georgpa01,2018-19,28,OKC,NBA,77,2841,77,23.3,.469,.335,3.7,19.6,11.4,17.7,2.8,1.0,10.0,29.5,116,105,7.0,4.9,11.9,.201,5.6,1.6,7.2,6.6
6,Damian Lillard\lillada01,2018-19,28,POR,NBA,80,2838,80,23.7,.419,.335,2.6,11.1,7.0,30.6,1.5,1.0,10.8,29.3,121,112,9.7,2.4,12.1,.205,6.6,-0.3,6.4,6.0
7,P.J. Tucker\tuckepj01,2018-19,33,HOU,NBA,82,2802,82,9.2,.740,.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,114,110,2.0,3.0,5.0,.086,-1.6,1.0,-0.6,1.0
8,Kevin Durant\duranke01,2018-19,30,GSW,NBA,78,2702,78,24.2,.281,.366,1.4,17.5,9.8,26.2,1.0,2.6,12.3,29.0,121,110,8.6,2.9,11.5,.204,5.4,0.1,5.5,5.1
9,Ben Simmons\simmobe01,2018-19,22,PHI,NBA,79,2700,79,20.0,.006,.446,6.9,20.0,13.7,34.2,2.0,1.8,19.3,22.1,114,108,4.6,3.6,8.2,.146,2.2,1.3,3.6,3.8
10,DeMar DeRozan\derozde01,2018-19,29,SAS,NBA,77,2688,77,19.6,.034,.336,2.2,16.4,9.4,27.6,1.6,1.1,11.7,27.9,110,111,3.6,2.6,6.3,.112,1.0,0.1,1.1,2.2
11,LaMarcus Aldridge\aldrila01,2018-19,33,SAS,NBA,81,2687,81,22.9,.032,.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,117,110,6.4,2.9,9.3,.167,2.4,-0.6,1.8,2.6
12,Steven Adams\adamsst01,2018-19,25,OKC,NBA,80,2669,80,18.5,.002,.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,120,106,5.1,4.0,9.1,.163,0.7,0.4,1.1,2.1
