Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Tobias Harris,2019-20,27,PHI,NBA,65,2243,65,16.8,0.309,0.183,2.7,19.0,10.8,14.6,1.1,1.3,7.9,23.6,112,109,3.0,2.6,5.6,0.12,1.0,-0.4,0.6,1.5
Devin Booker,2019-20,23,PHO,NBA,62,2241,62,19.8,0.313,0.395,1.3,11.7,6.4,30.2,1.0,0.6,15.7,29.5,114,115,4.8,1.2,6.0,0.129,3.1,-1.4,1.7,2.1
James Harden,2019-20,30,HOU,NBA,61,2241,61,28.4,0.555,0.519,3.0,15.3,9.1,34.4,2.2,2.0,13.8,36.4,120,109,8.7,2.7,11.5,0.245,7.9,1.2,9.0,6.3
Bam Adebayo,2019-20,22,MIA,NBA,65,2235,65,20.6,0.018000000000000002,0.476,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,117,106,4.6,3.6,8.1,0.175,1.6,2.1,3.6,3.2
Harrison Barnes,2019-20,27,SAC,NBA,64,2231,64,13.3,0.342,0.343,3.0,12.7,7.7,9.9,0.8,0.4,8.9,17.6,116,115,3.1,1.1,4.2,0.091,0.0,-1.2,-1.2,0.5
CJ McCollum,2019-20,28,POR,NBA,62,2229,62,17.4,0.378,0.135,1.9,9.7,5.9,19.3,1.0,1.5,8.3,26.7,111,117,3.1,0.6,3.7,0.079,2.5,-1.7,0.9,1.6
Shai Gilgeous-Alexander,2019-20,21,OKC,NBA,63,2214,63,17.8,0.237,0.339,2.3,16.4,9.6,14.8,1.5,1.7,9.8,23.7,111,109,2.9,2.6,5.5,0.12,1.4,0.2,1.6,2.0
Devonte' Graham,2019-20,24,CHO,NBA,63,2211,53,15.8,0.607,0.242,2.0,8.7,5.2,35.3,1.4,0.6,14.5,24.8,109,116,2.5,0.9,3.4,0.073,2.6,-2.1,0.5,1.4
P.J. Tucker,2019-20,34,HOU,NBA,64,2203,64,8.7,0.687,0.118,4.8,16.2,10.5,5.9,1.5,1.2,14.6,8.6,117,111,1.8,2.2,3.9,0.086,-2.2,0.6,-1.6,0.2
Donovan Mitchell,2019-20,23,UTA,NBA,63,2165,63,19.1,0.34700000000000003,0.235,2.3,11.2,7.0,21.2,1.5,0.5,10.9,31.0,110,111,3.0,2.2,5.2,0.115,2.4,-0.5,1.9,2.1
Terry Rozier,2019-20,25,CHO,NBA,63,2164,63,14.9,0.45,0.202,2.4,11.8,7.0,20.4,1.4,0.4,12.1,23.7,108,115,1.9,1.1,3.0,0.067,0.8,-1.3,-0.4,0.8
Domantas Sabonis,2019-20,23,IND,NBA,62,2159,62,20.7,0.079,0.349,9.7,29.5,19.7,21.7,1.1,1.2,14.8,23.4,115,106,4.2,3.3,7.6,0.168,2.1,1.1,3.2,2.9
Collin Sexton,2019-20,21,CLE,NBA,65,2143,65,16.3,0.235,0.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,108,118,2.2,0.3,2.5,0.057,0.3,-2.1,-1.8,0.1
Rudy Gobert,2019-20,27,UTA,NBA,62,2142,62,21.7,0.0,0.725,11.3,31.3,21.8,6.5,1.1,4.8,15.2,16.1,130,103,6.0,4.0,10.0,0.225,1.8,1.9,3.7,3.1
Damian Lillard,2019-20,29,POR,NBA,58,2140,58,26.2,0.493,0.377,1.5,10.5,6.1,34.1,1.3,0.8,11.0,30.2,125,116,8.9,0.7,9.6,0.215,7.9,-0.7,7.2,5.0
Trae Young,2019-20,21,ATL,NBA,60,2120,60,23.9,0.455,0.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,114,117,5.4,0.5,5.9,0.134,6.3,-2.3,4.0,3.2
Nikola Jokić,2019-20,24,DEN,NBA,65,2101,65,25.0,0.233,0.277,8.2,26.9,17.6,34.3,1.8,1.9,15.7,26.6,119,106,6.0,3.2,9.2,0.209,5.4,2.3,7.6,5.1
LeBron James,2019-20,35,LAL,NBA,60,2094,60,26.0,0.324,0.292,3.1,21.0,12.3,49.7,1.7,1.3,15.3,31.6,117,105,6.1,3.4,9.5,0.218,6.8,1.9,8.7,5.7
DeMar DeRozan,2019-20,30,SAS,NBA,61,2091,61,21.3,0.031,0.419,2.0,15.7,8.9,26.0,1.4,0.6,11.5,26.6,117,115,5.1,1.1,6.2,0.14300000000000002,2.1,-0.5,1.6,1.9
Zach LaVine,2019-20,24,CHI,NBA,60,2085,60,19.5,0.404,0.279,2.1,13.8,7.7,21.7,2.0,1.3,13.3,31.7,106,110,1.8,2.2,4.0,0.092,3.3,-0.8,2.5,2.4
Bojan Bogdanović,2019-20,30,UTA,NBA,63,2083,63,15.7,0.489,0.29600000000000004,2.2,11.1,6.8,9.9,0.8,0.3,13.1,25.6,111,113,2.7,1.6,4.3,0.099,1.6,-1.5,0.2,1.1
Julius Randle,2019-20,25,NYK,NBA,64,2080,64,17.5,0.23,0.35,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,105,112,1.0,1.7,2.7,0.062,0.7,-1.0,-0.3,0.9
Bradley Beal,2019-20,26,WAS,NBA,57,2053,57,23.1,0.369,0.35100000000000003,2.7,10.6,6.5,29.1,1.6,1.0,11.4,34.4,113,117,4.6,0.5,5.1,0.119,5.3,-2.4,2.9,2.5
Buddy Hield,2019-20,27,SAC,NBA,64,2045,44,16.3,0.5820000000000001,0.123,3.1,14.1,8.4,15.8,1.4,0.8,11.8,27.1,107,113,1.6,1.5,3.1,0.07400000000000001,2.6,-1.3,1.4,1.7
Jayson Tatum,2019-20,21,BOS,NBA,59,2043,59,20.3,0.377,0.251,3.0,18.8,11.0,14.0,2.0,2.4,9.7,28.6,110,105,2.9,3.4,6.2,0.147,3.3,0.6,3.9,3.0
De'Andre Hunter,2019-20,22,ATL,NBA,63,2018,62,8.6,0.445,0.211,2.3,13.1,7.6,8.0,1.0,0.7,12.1,17.5,100,117,-0.4,0.5,0.1,0.001,-2.8,-1.8,-4.7,-1.4
Chris Paul,2019-20,34,OKC,NBA,63,2003,63,21.7,0.34700000000000003,0.311,1.2,15.5,8.6,33.4,2.4,0.4,13.0,23.2,121,108,5.5,2.5,8.1,0.194,3.1,1.2,4.3,3.2
Miles Bridges,2019-20,21,CHO,NBA,65,1995,64,12.1,0.398,0.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,103,114,0.3,1.3,1.6,0.038,-1.5,-1.0,-2.5,-0.3
Spencer Dinwiddie,2019-20,26,BRK,NBA,64,1994,49,17.9,0.392,0.4370000000000001,1.7,9.5,5.7,35.6,1.0,0.9,12.5,29.2,111,112,3.4,1.7,5.1,0.123,2.6,-0.8,1.7,1.9
